ρ,σ²-Model,σ²-Analytical
0.05,0.08640810666666668,0.058642061281337046
0.1,0.6088321955555555,0.14063291139240508
0.15,1.8440361955555555,0.2603413284132841
0.2,36.49246016000001,0.44571428571428573
0.25,109.00251539555555,0.7589285714285714
0.3,84.55441797333333,1.371290322580645
0.35,133.75715619555555,2.9880633802816896
0.36,800.87431616,3.6772085106382963
0.37,814.5557582222222,4.681515922014622
0.38,1405.8832172622224,6.277441004184101
0.39,1494.4349565155558,9.198135640648017
0.4,2489.145397333333,16.240000000000034
0.41,3291.77037104,56.74610168067189
