ρ,σ²-Model,σ²-Analytical
0.05,0.006711554444444445,0.058642061281337046
0.1,0.019728375918209876,0.14063291139240508
0.15000000000000002,0.06301021906635802,0.26034132841328417
0.2,0.09156298851080247,0.44571428571428573
0.25,0.19507406925154322,0.7589285714285714
0.30000000000000004,0.3390734013580247,1.3712903225806459
0.35,0.5305623609182099,2.9880633802816896
0.36,0.7832152844444444,3.6772085106382963
0.37,2.144659102191358,4.681515922014622
0.38,3.240291546844136,6.277441004184101
0.39,3.7346481610416666,9.198135640648017
0.4,33.35427071659722,16.240000000000034
0.41,24.559122904251545,56.74610168067189
