ρ,σ²-Model,σ²-Analytical
0.05,0.0105857199609375,0.058642061281337046
0.1,0.0444312015234375,0.14063291139240508
0.15,0.06487087359375,0.2603413284132841
0.2,0.21602132714843753,0.44571428571428573
0.25,0.34562767484375,0.7589285714285714
0.3,1.1091349374609374,1.371290322580645
0.35,1.5892411465234375,2.9880633802816896
0.36,5.906130590273437,3.6772085106382963
0.37,11.837045819375,4.681515922014622
0.38,10.9329125,6.277441004184101
0.39,19.418018202148435,9.198135640648017
0.4,46.101597608398436,16.240000000000034
0.41,111.18841996484375,56.74610168067189
