ρ,ρ*ρ,σ²-Model,σ²-Analytical
0.05,0.0025000000000000005,0.056098736799,0.058642061281337046
0.1,0.010000000000000002,0.14202025450775,0.14063291139240508
0.15000000000000002,0.022500000000000006,0.26575278424510995,0.26034132841328417
0.2,0.04000000000000001,0.43949550784156,0.44571428571428573
0.25,0.0625,0.7334912224486401,0.7589285714285714
0.3,0.09,1.5525559891415899,1.371290322580645
0.35,0.12249999999999998,2.8914297291947904,2.9880633802816896
0.36,0.1296,3.01297806180975,3.6772085106382963
0.37,0.1369,2.50957758684956,4.681515922014622
0.38,0.1444,3.17195386019196,6.277441004184101
0.39,0.1521,4.41283320976031,9.198135640648017
0.4,0.16000000000000003,4.00590871312711,16.240000000000034
0.41000000000000003,0.16810000000000003,4.63975066661084,56.746101680672695
0.41100000000000003,0.16892100000000002,5.2379187554797495,74.66481278125411
0.41200000000000003,0.16974400000000003,5.251607357049189,108.77422530946467
0.41300000000000003,0.17056900000000003,5.112243626628439,199.09874111367495
0.41400000000000003,0.17139600000000002,4.90621641591991,1135.3154516822885
