RHO,SIGMA SQUARED
0.951,0.0900007
0.952,0.0239869
0.953,0.250034
0.954,0.209257
0.955,0.266485
0.956,0.277339
0.957,0.285537
0.958,0.27427
0.959,0.30613
0.96,0.324697
0.961,0.326228
0.962,0.325461
0.963,0.337881
0.964,0.327277
0.965,0.342516
0.966,0.360769
0.967,0.341218
0.968,0.370168
0.969,0.361831
0.97,0.368422
