ρ,ρ*ρ,σ²-Model,σ²-Analytical,exp_rhoc
0.01,0.0001,0.0099703098519375,0.0103082049188692,0.6676441212689289
0.02,0.0004,0.020436614816,0.0212673614005835,0.6743540562404442
0.03,0.0009,0.0320736464577499,0.0329334575657544,0.6811314271795471
0.04,0.0016,0.0431916759909999,0.0453686411149825,0.6879769118289795
0.05,0.0025,0.056303406975,0.058642061281337,0.6948911947429106
0.06,0.0036,0.0683627221734375,0.0728308534915563,0.701874967355394
0.07,0.0049,0.0819458937109375,0.0880212957548824,0.7089289280495108
0.08,0.0064,0.0964142450819375,0.1043101727447216,0.7160537822272085
0.09,0.0081,0.11556101224375,0.1218063924128587,0.7232502423798425
0.0999999999999999,0.0099999999999999,0.13002209208775,0.140632911392405,0.7305190281594248
0.1099999999999999,0.0120999999999999,0.13214352115975,0.1609290402396145,0.7378608664505911
0.1199999999999999,0.0143999999999999,0.146009933456,0.1828532188841201,0.7452764914432886
0.1299999999999999,0.0168999999999999,0.1633695899999999,0.206586378094316,0.7527666447061961
0.1399999999999999,0.0195999999999999,0.1857031121859375,0.2323360365505425,0.760332075260882
0.15,0.0225,0.2291770560609375,0.2603413284132841,0.7679735396567061
0.16,0.0256,0.26037848558775,0.290879217603912,0.775691802046476
0.17,0.0289,0.2839947773424375,0.3242722389478688,0.7834876342628626
0.18,0.0324,0.31482091081975,0.3608982225148124,0.7913618158955839
0.19,0.0361,0.3442695582644375,0.4012026203116973,0.7993151343693652
0.2,0.04,0.37534836973975,0.4457142857142859,0.8073483850226815
0.21,0.0441,0.435430243824,0.4950658891584253,0.8154623711872927
0.22,0.0484,0.4649163199,0.5500206411258799,0.8236579042685769
0.23,0.0529,0.4878951070744375,0.6115077191541783,0.8319358038266718
0.24,0.0576,0.5356284021937501,0.6806698961937722,0.8402968976584314
0.25,0.0625,0.5810549382484376,0.7589285714285717,0.8487420218802068
0.26,0.0676,0.6031743293469375,0.8480741028128036,0.8572720210114575
0.2700000000000001,0.0729,0.7214614701109374,0.9503937225523128,0.8658877480592051
0.2800000000000001,0.0784,0.75404541326775,1.0688566371681425,0.8745900646033341
0.2900000000000001,0.0841,0.8534038828734375,1.2073885382554346,0.883379840882751
0.3000000000000001,0.09,0.8929805228997499,1.3712903225806468,0.8922579558824084
0.3100000000000001,0.0961,0.9671241945899376,1.567897886579784,0.9012252974212049
0.3200000000000001,0.1024,0.9999665722444376,1.807662111801245,0.9102827622407671
0.3300000000000001,0.1089,1.05942376508775,2.10599831241887,0.9194312560951248
0.3400000000000001,0.1156,1.2080510216119371,2.486630919765172,0.9286716938412872
0.3500000000000001,0.1225000000000001,1.31548724609375,2.988063380281699,0.9380049995307296
0.3600000000000001,0.1296000000000001,1.381254208111,3.67720851063831,0.9474321065017984
0.3700000000000001,0.1369000000000001,1.5230569431799377,4.6815159220146425,0.9569539574730468
0.3800000000000001,0.1444000000000001,1.6317817176624374,6.277441004184136,0.9665715046375067
0.3900000000000002,0.1521000000000001,1.802223419671,9.198135640648086,0.9762857097579095
0.4000000000000002,0.1600000000000001,1.9695498025899372,16.240000000000222,0.9860975442628621
0.4100000000000002,0.1681000000000001,2.0996944087894374,56.74610168067499,0.9960079893439917
