ρ,ρ*ρ,σ²-Model,σ²-Analytical
0.15000000000000002,0.022500000000000006,0.4059221393678889,0.26034132841328417
0.05,0.0025000000000000005,0.2,0.4063378647545556,0.04000000000000001,0.0586420612813370460.1
0.4059539523728889,,0.44571428571428573
0.010000000000000002,0.4029892739456667,0.14063291139240508
0.25,0.0625,0.8030824148795556,0.7589285714285714
0.35,0.12249999999999998,0.8034787516212223,2.9880633802816896
0.36,0.1296,0.800915013376,3.6772085106382963
0.3,0.09,0.8027020255856667,1.371290322580645
0.38,0.1444,1.118841953367889,6.277441004184101
0.37,0.1369,1.1250784262656666,4.681515922014622
0.39,0.1521,1.1164324701083332,9.198135640648017
0.4,0.16000000000000003,1.120221663836,16.240000000000034
0.403,0.16240900000000003,1.1260350848173333,20.804549089329292
0.402,0.16160400000000003,1.1269434366123332,19.033744063728385
0.404,0.16321600000000003,1.1174465902395556,22.922273716509235
0.401,0.16080100000000003,1.1135083083359998,17.53109391653005
0.405,0.16402500000000003,1.1221861719972221,25.49987779114542
0.406,0.164836,1.1195942723395556,28.705332537385686
0.40800000000000003,0.16646400000000003,1.1195242119376667,38.212338919708216
0.40700000000000003,0.16564900000000002,1.1206529612582221,32.79975107862034
0.40900000000000003,0.167281,1.1207421734612222,45.70160078544762
0.41200000000000003,0.16974400000000003,1.1242223859555556,108.77422530946467
0.41100000000000003,0.16892100000000002,1.1179488681278889,74.66481278125411
0.41000000000000003,0.16810000000000003,1.1236867610523333,56.746101680672695
0.41300000000000003,0.17056900000000003,1.0701527439376666,199.09874111367495
0.41400000000000003,0.17139600000000002,1.0522969794448889,1135.3154516822885
