r,Cij,
25,-0.026820999999999984
24,-0.026371000000000006
23,-0.03139599999999998
22,-0.028446
21,-0.02322099999999999
20,-0.037045999999999996
19,-0.032020999999999994
18,-0.029470999999999997
17,-0.03239599999999998
16,-0.031671000000000005
15,-0.04842099999999999
14,-0.045720999999999984
13,-0.048871
12,-0.06812099999999999
11,-0.060321
10,-0.05282099999999999
9,-0.06812099999999999
8,-0.05424599999999999
7,-0.05409599999999999
6,-0.05282099999999999
5,-0.04694599999999999
4,-0.061971
3,-0.052271
2,-0.04387099999999999
1,-0.041771
0,1.300129
-1,-0.040670999999999985
-2,-0.054445999999999994
-3,-0.06479599999999999
-4,-0.05964599999999999
-5,-0.06522099999999999
-6,-0.06182099999999999
-7,-0.070921
-8,-0.06962099999999999
-9,-0.06269599999999999
-10,-0.055320999999999995
-11,-0.056970999999999994
-12,-0.050145999999999996
-13,-0.04474599999999998
-14,-0.06454599999999999
-15,-0.03937099999999999
-16,-0.04399599999999998
-17,-0.03834599999999999
-18,-0.028696
-19,-0.038645999999999986
-20,-0.040296
-21,-0.028545999999999988
-22,-0.037246
-23,-0.037246
-24,-0.028220999999999996
