ρ,ρ*ρ,σ²-Model,σ²-Analytical
0.05,0.0025000000000000005,0.054808842843305554,0.058642061281337046
0.1,0.010000000000000002,0.1571780909998889,0.14063291139240508
0.15000000000000002,0.022500000000000006,0.3318061667332222,0.26034132841328417
0.2,0.04000000000000001,0.6602444617173333,0.44571428571428573
0.25,0.0625,1.551317692096,0.7589285714285714
0.3,0.09,3.8978275063959997,1.371290322580645
0.35,0.12249999999999998,16.133850536155304,2.9880633802816896
0.36,0.1296,14.593061911201971,3.6772085106382963
0.37,0.1369,16.98572464344489,4.681515922014622
0.38,0.1444,13.590348564249306,6.277441004184101
0.39,0.1521,20.752706572072892,9.198135640648017
0.4,0.16000000000000003,31.262942177407886,16.240000000000034
0.401,0.16080100000000003,31.277571063231083,17.53109391653005
0.402,0.16160400000000003,18.42726696094375,19.033744063728385
0.403,0.16240900000000003,23.179397415753307,20.804549089329292
0.404,0.16321600000000003,23.02914389358664,22.922273716509235
0.405,0.16402500000000003,37.793981050876006,25.49987779114542
0.406,0.164836,29.50465758165331,28.705332537385686
0.40700000000000003,0.16564900000000002,18.870300660831557,32.79975107862034
0.40800000000000003,0.16646400000000003,25.31496156101289,38.212338919708216
0.40900000000000003,0.167281,24.717332676751,45.70160078544762
0.41000000000000003,0.16810000000000003,27.202409117215975,56.746101680672695
0.41100000000000003,0.16892100000000002,31.864286354439972,74.66481278125411
0.41200000000000003,0.16974400000000003,17.097616497446637,108.77422530946467
0.41300000000000003,0.17056900000000003,44.89887270633056,199.09874111367495
0.41400000000000003,0.17139600000000002,40.21697012910864,1135.3154516822885
0.6000000000000001,0.3600000000000001,156.08000042903066,-2.331428571428571
0.8,0.6400000000000001,314.7791691593711,-1.9045161290322583
1.0,1.0,711.7287086484343,-2.0
1.2,1.44,772.0511178910966,-2.268169014084507
1.4,1.9599999999999997,1105.6599055085067,-2.645106382978723
1.5999999999999999,2.5599999999999996,2655.5737347835466,-3.11126050420168
1.7999999999999998,3.2399999999999993,1970.4820933955195,-3.65917808219178
1.9999999999999998,3.999999999999999,2526.516895373861,-4.285714285714286
