ρ,σ²-Model,σ²-Analytical
0.05,0.031753189999999994,0.058642061281337046
0.1,0.10451743749999999,0.14063291139240508
0.15,0.172831144375,0.2603413284132841
0.2,0.44551101937500004,0.44571428571428573
0.25,0.7624475775,0.7589285714285714
0.3,4.7445823943750005,1.371290322580645
0.35,21.499847359375,2.9880633802816896
0.36,105.89329944,3.6772085106382963
0.37,144.589581119375,4.681515922014622
0.38,343.83951172437503,6.277441004184101
0.39,179.70091944937502,9.198135640648017
0.4,269.136108734375,16.240000000000034
0.41,776.3659566193751,56.74610168067189
