ρ,σ²-Model,σ²-Analytical
0.05,0.04622511,0.058642061281337046
0.1,0.26526471,0.14063291139240508
0.15,0.65770576,0.2603413284132841
0.2,11.406701989999998,0.44571428571428573
0.25,12.675020960000001,0.7589285714285714
0.3,68.36580476,1.371290322580645
0.35,79.47171996,2.9880633802816896
0.36,300.53161351,3.6772085106382963
0.37,321.54626415999996,4.681515922014622
0.38,454.45029275999997,6.277441004184101
0.39,180.73000975999997,9.198135640648017
0.4,1834.04263036,16.240000000000034
0.41,3124.57361759,56.74610168067189
