ρ,σ²-Model,σ²-Analytical
0.05,0.007613480068359375,0.058642061281337046
0.1,0.0212080458984375,0.14063291139240508
0.15,0.0337683308984375,0.2603413284132841
0.2,0.07015297827148437,0.44571428571428573
0.25,0.1169772203100586,0.7589285714285714
0.3,0.23599431250000003,1.371290322580645
0.35,0.41207794897460936,2.9880633802816896
0.36,0.530084,3.6772085106382963
0.37,1.0136373705444337,4.681515922014622
0.38,1.3446297920996095,6.277441004184101
0.39,2.2988020813256833,9.198135640648017
0.4,6.596108474365234,16.240000000000034
0.41,5.555604535068359,56.74610168067189
