ρ,σ²-Model,σ²-Analytical
0.05,0.0457068416,0.058642061281337046
0.1,0.2503879975,0.14063291139240508
0.15,1.00817375,0.2603413284132841
0.2,2.8196192636,0.44571428571428573
0.25,13.228264748399999,0.7589285714285714
0.3,37.84891775,1.371290322580645
0.35,140.2900798524,2.9880633802816896
0.36,151.58673369989998,3.6772085106382963
0.37,302.4655065404,4.681515922014622
0.38,639.8587296399,6.277441004184101
0.39,524.7432175196001,9.198135640648017
0.4,791.9091427376,16.240000000000034
0.41,1079.3988714624,56.74610168067189
