ρ,ρ*ρ,σ²-Model,σ²-Analytical
0.05,0.0025000000000000005,0.0,0.058642061281337046
0.1,0.010000000000000002,0.16972222222222222,0.14063291139240508
0.15000000000000002,0.022500000000000006,0.1275,0.26034132841328417
0.2,0.04000000000000001,0.09,0.44571428571428573
0.25,0.0625,0.19333333333333333,0.7589285714285714
0.3,0.09,0.25416666666666665,1.371290322580645
0.35,0.12249999999999998,0.2697222222222222,2.9880633802816896
0.39999999999999997,0.15999999999999998,0.8822222222222222,16.23999999999996
0.44999999999999996,0.20249999999999996,0.6808333333333332,-7.654939024390252
0.6499999999999999,0.4224999999999999,0.4363888888888889,-2.1116003460207615
0.8499999999999999,0.7224999999999998,0.75,-1.904134446397188
1.0499999999999998,1.1024999999999996,7.160833333333334,-2.054770147559591
1.2499999999999998,1.5624999999999996,0.10972222222222222,-2.353316326530612
1.4499999999999997,2.102499999999999,6.316666666666666,-2.7536867582760767
1.6499999999999997,2.722499999999999,4.2875,-3.2407429069188645
1.8499999999999996,3.4224999999999985,60.02888888888888,-3.8085146998774997
2.05,4.2025,28.41638888888889,-4.454451386511469
