RHO,SIGMA SQUARED
0,9.99999e-07
0.001,0.067618
0.002,9.99999e-07
0.003,0.226446
0.004,0.239296
0.005,0.274243
0.006,0.287622
0.007,0.283699
0.008,0.315359
0.009,0.31251
0.01,0.331214
0.011,0.332534
0.012,0.325771
0.013,0.334693
0.014,0.323162
0.015,0.33562
0.016,0.338116
0.018,0.374877
0.02,0.40415
0.022,0.382985
0.024,0.408444
0.026,0.401803
0.028,0.43369
0.03,0.422218
0.032,0.442624
0.034,0.463997
0.036,0.44626
0.038,0.467064
0.04,0.488192
